experiment,round,cumul_audit_frac,n_audited,strategy,MAPE_med,R2_log,Cov2x,Wastage_MB,OOM_count,n_eval
exp1,0,0.05,882,gate,2.9876712774321645,0.5784407783243666,97.02816589044134,188086.97081096834,327,4509
exp1,0,0.05,882,random,2.9902605070058987,0.5773473780969298,97.07252162341983,188298.22312292273,330,4509
exp1,1,0.1,1764,gate,2.987514428599823,0.5789394116208062,96.96163229097361,189569.6811516105,320,4509
exp1,1,0.1,1764,random,2.7619742305433554,0.6338478208572262,97.64914615214016,192208.7822728347,274,4509
exp1,2,0.15000000000000002,2646,gate,3.7436879635684908,0.816516895144273,97.69350188511865,384250.94968101894,325,4509
exp1,2,0.15000000000000002,2646,random,3.001142983105584,0.7423055000859373,98.04834774894655,196707.8718690137,284,4509
exp1,3,0.2,3528,gate,3.3734421469386158,0.823540525400245,97.7156797516079,297041.7353322427,275,4509
exp1,3,0.2,3528,random,2.956518634552566,0.7434588210871002,98.04834774894655,330216.3804433392,260,4509
exp1,4,0.25,4410,gate,3.4792364616816105,0.8304125009442436,98.11488134841429,304982.1556348429,239,4509
exp1,4,0.25,4410,random,2.974689630625492,0.7411503892973427,98.00399201596807,204315.72630185264,260,4509
exp1,5,0.3,5292,gate,3.5899592125047204,0.823626102225854,97.80439121756487,307904.43099594145,302,4509
exp1,5,0.3,5292,random,3.108993691005031,0.7684791580564163,98.00399201596807,331799.26946094754,281,4509
exp1,-1,1.0,17633,oracle,3.00747564207733,0.843908403807827,98.11488134841429,460618.6368911603,242,4509
exp2,0,0.05,545,gate,3.5036158303687004,0.93427283249453,89.15266617969321,197342.01030757523,71,2738
exp2,0,0.05,545,random,3.5036158303687004,0.93427283249453,89.15266617969321,197342.01030757523,71,2738
exp2,1,0.1,1090,gate,3.26150235952762,0.8801968869951494,88.67786705624543,114281.90641898237,104,2738
exp2,1,0.1,1090,random,3.5523515933570895,0.9485223061384263,89.33528122717313,99636.54518559497,140,2738
exp2,2,0.15000000000000002,1635,gate,3.930584358982494,0.9449174780657423,90.10226442658875,123566.16395663552,146,2738
exp2,2,0.15000000000000002,1635,random,2.740984405380687,0.9542675192430364,91.0518626734843,113794.45928728941,112,2738
exp2,3,0.2,2180,gate,3.1171023688479726,0.9521164635978654,90.06574141709277,124616.82431635645,94,2738
exp2,3,0.2,2180,random,2.6349486865922858,0.9553765391335225,91.08838568298027,104683.2877935259,89,2738
exp2,4,0.25,2725,gate,3.1800335917551132,0.9563286209944357,90.75967859751644,77699.7443241057,131,2738
exp2,4,0.25,2725,random,2.7840922474652317,0.9567688846584613,90.46749452154857,76168.1954663519,104,2738
exp2,5,0.3,3270,gate,3.827977627405214,0.9570773366203869,91.85536888239591,105401.56233726628,135,2738
exp2,5,0.3,3270,random,2.6652068446379324,0.9559587603365601,90.54054054054053,83427.56894607704,75,2738
exp2,-1,1.0,10905,oracle,2.3182044282431704,0.9611752921339908,90.79620160701242,78852.2280192952,45,2738
