experiment,B,strategy,retrain,n_audit_train,MAPE_med,R2_log,Cov2x,Wastage_MB,Wastage_GBh,OOM_count,n_eval
exp1,0.0,sizey,n/a,0,3.5735395565922636,0.5260721471984129,96.98381015746286,1320500.866952015,0.35820878552300756,50,4509
exp1,1.0,oracle,n/a,17633,3.055348023561676,0.824135190373058,97.78221335107563,697560.1915564247,0.1892253123796725,74,4509
exp1,0.1,random,naive,1763,3.527484052199835,0.5425069234288248,96.96163229097361,1262544.3453419707,0.3424870728466718,62,4509
exp1,0.1,random,ipw,1763,3.527484052199835,0.5425069233934415,96.96163229097361,1262544.3453783062,0.34248707285652835,62,4509
exp1,0.1,gate,naive,1740,3.231740071266355,0.8630479514621445,98.2257706808605,1333191.838333611,0.36165143183962967,63,4509
exp1,0.1,gate,ipw,1740,3.224248732880229,0.8568104092720371,98.53626081170991,1309067.3223646237,0.3551072380546397,64,4509
exp1,0.0,sizey,n/a,0,3.5735395565922636,0.5260721471984129,96.98381015746286,1320500.866952015,0.35820878552300756,50,4509
exp1,1.0,oracle,n/a,17633,3.055348023561676,0.824135190373058,97.78221335107563,697560.1915564247,0.1892253123796725,74,4509
exp1,0.3,random,naive,5290,3.4928278406241535,0.5537158578116491,96.89509869150588,1148911.3283988505,0.3116621442054174,69,4509
exp1,0.3,random,ipw,5290,3.4928278406241535,0.5537158578326526,96.89509869150588,1148911.3283509514,0.31166214419242394,69,4509
exp1,0.3,gate,naive,5448,2.8711868951293558,0.861569040042405,98.24794854734975,1168977.8868468753,0.3171055465621949,71,4509
exp1,0.3,gate,ipw,5448,2.879134757665207,0.8596744651016988,98.13705921490352,1176084.6220767782,0.31903337187412606,73,4509
exp2,0.0,sizey,n/a,0,2.247757003308173,0.949353775559855,89.59094229364499,95243.77017055731,0.025836526196440245,44,2738
exp2,1.0,oracle,n/a,10905,2.3182044282431704,0.9611752921339908,90.79620160701242,78852.2280192952,0.021390035812525826,45,2738
exp2,0.1,random,naive,1090,2.2902117420126813,0.951849204955138,89.73703433162893,98282.11414104144,0.026660729747461327,45,2738
exp2,0.1,random,ipw,1090,2.253413559945515,0.9504587766155714,89.62746530314098,94526.63293695624,0.025641990271526756,53,2738
exp2,0.1,gate,naive,1089,2.489310897364131,0.9460811180033544,89.59094229364499,90354.86172158788,0.024510324902774487,46,2738
exp2,0.1,gate,ipw,1089,2.481558346020216,0.9444669307230289,89.62746530314098,90328.68146967121,0.024503223054923834,46,2738
exp2,0.0,sizey,n/a,0,2.247757003308173,0.949353775559855,89.59094229364499,95243.77017055731,0.025836526196440245,44,2738
exp2,1.0,oracle,n/a,10905,2.3182044282431704,0.9611752921339908,90.79620160701242,78852.2280192952,0.021390035812525826,45,2738
exp2,0.3,random,naive,3272,2.3343992812811845,0.9470951650483008,89.00657414170927,87464.77641271368,0.023726339087650195,49,2738
exp2,0.3,random,ipw,3272,2.3352892256086775,0.9442259268027545,89.29875821767713,84323.72957118052,0.022874275599821105,58,2738
exp2,0.3,gate,naive,3277,2.4053893784812623,0.9530506802865533,91.19795471146823,82201.18280567124,0.02229849793990648,53,2738
exp2,0.3,gate,ipw,3277,2.426976293466295,0.9448999984677457,91.08838568298027,81511.2934736334,0.022111353481345866,53,2738
