class,variant,wastage_GBh_total,oom_total
LR,a only,18.329769925188756,2781
LR,Joint (a+c),5.553197812770296,2167
KNN,a only,37.10274666173962,1067
KNN,Joint (a+c),3.8697748862756995,712
MLP,a only,129.80850277385042,2022
MLP,Joint (a+c),9.354468589653338,1322
RF,a only,109.30897492609164,603
RF,Joint (a+c),2.6400140563681274,544
LGBM,a only,15.414715174680424,1780
LGBM,Joint (a+c),4.108726595997589,1149
NGB,a only,7.460903931513743,1672
NGB,Joint (a+c),2.9283875723338038,1397
Best-of-4,a only,7.413816273485189,2311
